name,ratings,price,storage,ram,android_version
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.3,9499,64,4,12
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.3,10499,128,4,12
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.3,10499,128,4,12
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",4.3,10499,128,4,12
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.3,15499,128,6,12
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.3,15499,128,6,12
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.2,6999,64,4,12
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.2,6999,64,4,12
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.2,13990,128,6,13
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4.3,15499,128,6,12
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",4.2,13990,128,6,13
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)",4.1,8093,64,4,12
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.3,9499,64,4,12
"SAMSUNG Galaxy M04 (Light Green, 64 GB)",4.1,8185,64,4,12
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.2,12990,128,4,13
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",4.2,12990,128,4,13
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.3,9499,64,4,12
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",4.2,16479,128,6,13
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)",4.2,13990,128,6,12
"SAMSUNG Galaxy M04 (Light Green, 128 GB)",4.1,9320,128,4,12
"SAMSUNG Galaxy M13 (Aqua Green, 128 GB)",4.2,13999,128,6,13
"SAMSUNG GALAXY M13 5G (Midnight Blue, 128 GB)",4.1,14235,128,6,12
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",4.2,16479,128,6,1
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",4.2,11195,64,4,12
"SAMSUNG GALAXY M13 (Midnight Blue, 128 GB)",4.2,12879,128,6,12
"SAMSUNG Galaxy M33 5G (Emerald Brown, 128 GB)",4.2,17678,128,8,12
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)",4.1,10470,128,4,12
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",4.2,11199,64,4,12
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",4.2,16899,128,6,12
"SAMSUNG Galaxy A23 (Black, 128 GB)",4.2,17499,128,6,12
"SAMSUNG Galaxy S20 FE 5G (Cloud Mint, 128 GB)",4.2,27585,128,8,12
"SAMSUNG GALAXY M13 5G (Stardust Brown, 64 GB)",4.1,12830,64,4,13
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",4.2,11599,64,4,13
"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)",4.3,31999,128,8,12
"SAMSUNG Galaxy S21 FE 5G (Lavender, 128 GB)",4.3,31999,128,8,12
"SAMSUNG GALAXY M13 5G (?Stardust Brown, 128 GB)",4.1,14298,128,6,12
"SAMSUNG Galaxy A34 5G (Awesome Violet, 128 GB)",4.2,30999,128,8,13
"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)",4.3,31999,128,8,12
"SAMSUNG GALAXY M13 (Stardust Brown, 128 GB)",4.2,12894,128,6,12
"SAMSUNG Galaxy S20 FE 5G (Cloud Navy, 128 GB)",4.2,27440,128,8,10
"SAMSUNG Galaxy A13 (Peach, 128 GB)",4.2,16499,128,6,12
"SAMSUNG Galaxy A23 5G (Light Blue, 128 GB)",3.8,23990,128,8,12
"SAMSUNG Galaxy A14 5G (Black, 128 GB)",4,17999,128,6,13
"SAMSUNG Galaxy A04s (Copper, 64 GB)",4.1,12499,64,4,12
"SAMSUNG GALAXY M13 5G (Aqua Green, 128 GB)",4.1,14049,128,6,12
"SAMSUNG Galaxy M33 5G (Emerald Brown, 128 GB)",4.2,16790,128,6,12
"SAMSUNG GALAXY M13 5G (Aqua Green, 64 GB)",4.1,12730,64,4,12
"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)",4.1,6990,32,2,11
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)",4.1,19999,128,8,13
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)",4,17999,128,6,13
"SAMSUNG Galaxy A14 5G (Black, 64 GB)",4.1,15999,64,4,13
"SAMSUNG Galaxy S20 FE (Cloud Mint, 128 GB)",4,27500,128,8,10
"SAMSUNG Galaxy A04e (Light Blue, 64 GB)",4.2,9999,64,3,13
"SAMSUNG Galaxy A14 5G (Black, 128 GB)",4.1,19999,128,8,13
"SAMSUNG Galaxy A14 5G (Black, 64 GB)",4.1,15999,64,4,12
"SAMSUNG Galaxy A04 (Black, 128 GB)",4,11990,128,4,13
"SAMSUNG Galaxy S23 Plus 5G (Cream, 256 GB)",4.5,29463,256,8,12
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.2,14499,128,4,12
"SAMSUNG Galaxy A04s (Green, 64 GB)",4.1,12499,64,4,12
"SAMSUNG Galaxy A23 (Peach, 128 GB)",4.2,17499,128,6,12
"SAMSUNG Galaxy A04 (Green, 128 GB)",4,12999,128,4,11
"SAMSUNG Galaxy A04s (Black, 64 GB)",4.1,12499,64,4,12
"SAMSUNG Galaxy A13 (Green, 128 GB)",4.2,16295,128,6,11
"SAMSUNG Galaxy A03 Core (Green, 32 GB)",4.1,8403,32,2,13
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)",4.1,19999,128,8,12
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.2,14499,128,4,11
"SAMSUNG Galaxy M12 (White, 64 GB)",4.2,10999,64,4,11
"SAMSUNG Galaxy A52 (Awesome Blue, 128 GB)",4.3,25980,128,6,12
"SAMSUNG Galaxy A23 (Blue, 128 GB)",4.3,19990,128,8,13
"SAMSUNG Galaxy A14 5G (Light Green, 64 GB)",4.1,15999,64,4,11
"SAMSUNG Galaxy M12 (Black, 64 GB)",4.2,12498,64,4,13
"SAMSUNG Galaxy A14 5G (Dark Red, 64 GB)",4.1,15999,64,4,13
"SAMSUNG Galaxy A23 5G (Orange, 128 GB)",4.1,21999,128,6,12
"SAMSUNG Galaxy A23 5G (Silver, 128 GB)",4.1,21999,128,6,12
"SAMSUNG Galaxy A03 Core (Bronze, 32 GB)",4.1,7199,32,2,11
"SAMSUNG Galaxy Z Flip4 5G (Graphite, 256 GB)",3.7,29463,256,8,12
"SAMSUNG Galaxy A03 (Black, 32 GB)",4.1,9400,32,3,11
"SAMSUNG Galaxy A23 5G (Silver, 128 GB)",3.8,23999,128,8,12
"SAMSUNG Galaxy A34 5G (Awesome Silver, 128 GB)",4.2,30999,128,8,13
"SAMSUNG Galaxy F62 (Laser Blue, 128 GB)",4.3,31999,128,8,11
"SAMSUNG Galaxy S20 FE 5G (Cloud Navy, 128 GB)",4.2,27995,128,8,10
"SAMSUNG Galaxy M53 5G (Deep Ocean Blue, 128 GB)",4,29999,128,8,12
"SAMSUNG Galaxy A03 Core (Black, 32 GB)",4.1,7189,32,2,11
"SAMSUNG Galaxy S22 Ultra 5G (Green, 256 GB)",4.3,17964,256,12,12
"SAMSUNG GALAXY M13 (Stardust Brown, 64 GB)",4.2,10490,64,4,12
"SAMSUNG Galaxy M12 (Black, 64 GB)",4.2,12498,64,4,11
"SAMSUNG Galaxy A34 5G (Awesome Graphite, 128 GB)",4.2,30999,128,8,13
"SAMSUNG Galaxy S22 Ultra 5G (Phantom Black, 256 GB)",4.3,19464,256,12,12
"SAMSUNG Galaxy S23 5G (Green, 256 GB)",4.5,14463,256,8,13
"SAMSUNG Galaxy S23 5G (Green, 128 GB)",4.5,9463,128,8,13
"SAMSUNG Galaxy A03 Core (Mint, 32 GB)",4.1,7199,32,2,11
"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)",4.5,14463,256,8,13
"SAMSUNG Galaxy M32 (Black, 64 GB)",4.2,14999,64,4,11
"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)",4.5,9463,128,8,13
"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)",4.5,14463,256,8,13
"SAMSUNG Galaxy A34 5G (Awesome Lime, 128 GB)",4.2,30999,128,8,13
"SAMSUNG Galaxy A13 (Black, 128 GB)",4.2,16499,128,6,12
"SAMSUNG Galaxy S23 5G (Cream, 256 GB)",4.5,14463,256,8,13
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)",4.5,9463,128,8,13
"SAMSUNG Galaxy M11 (Metallic Blue, 64 GB)",4.2,12490,64,4,10
"SAMSUNG Galaxy A53 (Awesome White, 128 GB)",4,31999,128,6,12
"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)",4.5,9463,128,8,13
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4.2,14499,128,4,12
"SAMSUNG Galaxy A33 (Awesome Blue, 128 GB)",4.1,27499,128,8,12
"SAMSUNG Galaxy A33 (Awesome Black, 128 GB)",4.1,27990,128,8,12
"SAMSUNG Galaxy M32 (Black, 128 GB)",4.2,14995,128,6,11
"SAMSUNG Galaxy M31 (Ocean Blue, 64 GB)",4.3,18999,64,6,10
"SAMSUNG Galaxy A03 (Red, 32 GB)",4.1,9498,32,3,11
"SAMSUNG Galaxy A52 (Awesome Blue, 128 GB)",4.3,24990,128,8,11
"SAMSUNG Galaxy A23 5G (Orange, 128 GB)",3.8,23999,128,8,12
"SAMSUNG Galaxy A04e (Copper, 64 GB)",4.2,9999,64,3,12
"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)",4.3,21399,128,6,13
"SAMSUNG Galaxy F62 (Laser Green, 128 GB)",4.2,25999,128,8,11
"SAMSUNG Galaxy M32 5G (Slate Black, 128 GB)",4.2,20999,128,8,11
"SAMSUNG Galaxy M12 (Blue, 64 GB)",4.3,10999,64,4,11
"SAMSUNG Galaxy S22 Ultra 5G (Phantom Black, 256 GB)",4.3,20463,256,12,12
"SAMSUNG Galaxy M12 (Blue, 128 GB)",4.3,15499,128,6,11
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.1,10890,64,4,11
"SAMSUNG A52s 5G (Awesome Black, 128 GB)",4,30990,128,6,11
"SAMSUNG Galaxy S20 FE (Cloud Lavender, 128 GB)",4,27944,128,8,10
"SAMSUNG Galaxy A53 (Awesome Blue, 128 GB)",4.1,31999,128,6,12
"SAMSUNG Galaxy A03 (Blue, 32 GB)",4,8991,32,3,11
"SAMSUNG Galaxy A03s (Blue, 32 GB)",4.1,11499,32,3,11
"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)",4.1,22999,128,8,11
"SAMSUNG Galaxy A03 Core (Green, 32 GB)",4.2,8403,32,2,11
